iter	R2	RMSE
0	0.001179316975	0.7431008876
1	0.002239878516	0.7427062655
2	0.003211594594	0.7423445175
3	0.004716863135	0.7417837917
4	0.006654989422	0.7410611977
5	0.008015891466	0.7405533895
6	0.009096621138	0.7401498769
7	0.01096227555	0.7394527785
8	0.01208849488	0.7390316503
9	0.01375359965	0.7384085763
10	0.01526486762	0.7378426117
11	0.01604998021	0.7375484183
12	0.01695042283	0.7372108646
13	0.01809446888	0.7367817669
14	0.0189026632	0.7364784865
15	0.01938691381	0.7362967083
16	0.02009812506	0.7360296521
17	0.02121905956	0.7356085502
18	0.0219528431	0.7353327589
19	0.02320407823	0.7348622454
20	0.02484096468	0.7342462568
21	0.0248419862	0.7342458722
22	0.02591067942	0.7338434253
23	0.02784810407	0.7331132694
24	0.02907874724	0.7326490999
25	0.03000526043	0.7322994469
26	0.03075652186	0.7320158088
27	0.03150953359	0.7317313996
28	0.0327016792	0.7312809052
29	0.03326642201	0.7310674003
30	0.03444719521	0.7306207992
31	0.03525686209	0.730314403
32	0.03546153124	0.7302369312
33	0.03678326169	0.729736429
34	0.03697253272	0.7296647292
35	0.03762538962	0.7294173596
36	0.03880164042	0.7289714626
37	0.03926985803	0.7287938931
38	0.03986095616	0.7285696601
39	0.04065089392	0.7282698894
40	0.04140529166	0.7279834904
41	0.04217362882	0.7276916836
42	0.04360770586	0.7271467222
43	0.04523815172	0.7265266424
44	0.04543452679	0.7264519227
45	0.04601845112	0.726229697
46	0.04698106907	0.7258632024
47	0.04780295652	0.7255501412
48	0.04901968013	0.7250864367
49	0.049715275	0.7248212058
50	0.05018986087	0.7246401901
51	0.05096046354	0.7243461719
52	0.05190589134	0.7239852872
53	0.05263843013	0.7237055419
54	0.05273041346	0.7236704072
55	0.05290417898	0.7236040298
56	0.05399430122	0.72318747
57	0.05487515915	0.7228506994
58	0.05519340706	0.722728988
59	0.05607759294	0.7223907302
60	0.05634098033	0.722289937
61	0.05719635498	0.7219625049
62	0.05743458324	0.7218712861
63	0.05844263964	0.7214851688
64	0.05909222825	0.7212362464
65	0.06017024545	0.7208229605
66	0.06027356908	0.7207833362
67	0.06069679313	0.7206210086
68	0.06169901404	0.7202364607
69	0.06178293825	0.72020425
70	0.06248959306	0.7199329739
71	0.06363929377	0.7194913994
72	0.06477058002	0.7190566328
73	0.0658542284	0.7186399274
74	0.06594814045	0.7186038031
75	0.06707126594	0.7181716403
76	0.06768544742	0.7179352019
77	0.06787805347	0.7178610392
78	0.0689376671	0.7174528997
79	0.06909734909	0.7173913736
80	0.07068758979	0.7167783597
81	0.07210717603	0.7162306873
82	0.07219184866	0.7161980076
83	0.07339145329	0.7157348556
84	0.07399742228	0.7155007848
85	0.07463584104	0.7152540965
86	0.07626490751	0.7146242311
87	0.07678599434	0.7144226399
88	0.07811434883	0.713908486
89	0.0797265887	0.7132839533
90	0.07979895735	0.7132559071
91	0.07991361731	0.7132114688
92	0.08056803247	0.7129577864
93	0.08141295033	0.7126301225
94	0.08210474626	0.712361728
95	0.0825611249	0.7121846124
96	0.08306179639	0.7119902566
97	0.08313184627	0.7119630597
98	0.08369890489	0.7117428605
99	0.08465069786	0.7113731087
100	0.08622240279	0.710762113
101	0.0863098318	0.7107281098
102	0.08721810577	0.7103747645
103	0.08794376535	0.7100923352
104	0.08863956536	0.7098214218
105	0.08925870854	0.7095802681
106	0.09028222623	0.7091814325
107	0.09109226109	0.708865626
108	0.09143694516	0.7087312021
109	0.0927910343	0.7082028716
110	0.0934483522	0.7079462611
111	0.0943837695	0.7075809228
112	0.095893999	0.7069906863
113	0.09675352092	0.7066545429
114	0.09698864071	0.706562564
115	0.09787006633	0.7062176434
116	0.0986954874	0.7058944858
117	0.09873917486	0.7058773778
118	0.09954313734	0.7055624714
119	0.0999258367	0.7054125214
120	0.1010664045	0.7049654328
121	0.1010718781	0.7049632865
122	0.1019480388	0.7046196485
123	0.1031455839	0.7041496894
124	0.1042420846	0.7037191085
125	0.1056437833	0.7031682966
126	0.1060497444	0.7030086894
127	0.1073866371	0.7024828218
128	0.1076730415	0.7023701133
129	0.108669327	0.7019779047
130	0.1096231062	0.7016022242
131	0.1096260228	0.7016010751
132	0.1106257297	0.7012070876
133	0.1112206487	0.7009725231
134	0.1119877429	0.7006699576
135	0.1129723976	0.7002813879
136	0.1134895307	0.7000772277
137	0.11464005	0.6996227977
138	0.1157838482	0.6991707296
139	0.1167666859	0.698782045
140	0.1170233885	0.6986804907
141	0.1171082854	0.6986469014
142	0.1182244315	0.6982051493
143	0.119527214	0.6976891758
144	0.1203688375	0.6973556436
145	0.1206591518	0.6972405561
146	0.1206628963	0.6972390716
147	0.1221113397	0.6966645891
148	0.1227902304	0.6963951639
149	0.123455048	0.6961312228
150	0.1235679784	0.696086378
151	0.1240170488	0.6959080231
152	0.1247441898	0.6956191315
153	0.1248001082	0.6955969103
154	0.1252076633	0.6954349318
155	0.1252572398	0.6954152256
156	0.1254741773	0.6953289882
157	0.1263071634	0.6949977588
158	0.1277836666	0.6944102524
159	0.1277857195	0.6944094351
160	0.1282384494	0.6942291923
161	0.1297714695	0.6936185118
162	0.1307508262	0.6932281022
163	0.1309891639	0.6931330583
164	0.1315630534	0.69290415
165	0.1326467828	0.6924716748
166	0.132897125	0.6923717343
167	0.1331930489	0.6922535783
168	0.1341196469	0.6918834772
169	0.13533333	0.6913984092
170	0.1361179552	0.6910846399
171	0.1365757535	0.6909015019
172	0.1372452402	0.6906335924
173	0.1379128288	0.690366339
174	0.1383066129	0.6902086482
175	0.1387948668	0.690013077
176	0.1394290936	0.6897589533
177	0.1405467448	0.6893109016
178	0.1418709594	0.6887796642
179	0.1427806129	0.6884144995
180	0.1431650196	0.6882601278
181	0.1441281906	0.6878731813
182	0.1455173234	0.6873147243
183	0.1463330098	0.6869865917
184	0.147946904	0.6863368956
185	0.1483131623	0.6861893675
186	0.1489856553	0.685918406
187	0.1500229492	0.6855002486
188	0.1510172851	0.685099169
189	0.1517299316	0.6848115683
190	0.1526415125	0.6844435081
191	0.1536359444	0.68404177
192	0.1540997106	0.6838543336
193	0.1541004713	0.6838540261
194	0.1550359183	0.6834757979
195	0.1554873983	0.6832931766
196	0.1563499033	0.6829441621
197	0.1566934444	0.6828050977
198	0.1570789229	0.6826490235
199	0.1579047788	0.6823145273
200	0.1591513179	0.681809331
201	0.1594100317	0.6817044328
202	0.1600587124	0.6814413474
203	0.1606063154	0.681219177
204	0.1610199272	0.6810513207
205	0.1625462724	0.6804315249
206	0.1635179094	0.6800366826
207	0.1636472702	0.6799840972
208	0.1649877729	0.6794389408
209	0.16597494	0.6790371993
210	0.1677638813	0.6783085583
211	0.1680819064	0.6781789438
212	0.1687108038	0.677922557
213	0.1691206069	0.6777554376
214	0.1691534116	0.677742058
215	0.1698210449	0.6774697008
216	0.1705658082	0.6771657496
217	0.1717039962	0.676700971
218	0.1722158026	0.676491871
219	0.1728238498	0.6762433675
220	0.1731281644	0.6761189625
221	0.1739113056	0.6757987061
222	0.1744371128	0.6755835982
223	0.1756624944	0.6750820282
224	0.1756788569	0.6750753282
225	0.1769082581	0.6745717332
226	0.1769199131	0.6745669572
227	0.1782984594	0.6740018169
228	0.178959464	0.6737306674
229	0.1803411993	0.6731635154
230	0.1807179048	0.6730088086
231	0.1813848637	0.6727348123
232	0.1818654723	0.6725373021
233	0.1824671462	0.6722899574
234	0.1829590481	0.6720876716
235	0.1845369524	0.6714383759
236	0.1856736887	0.670970228
237	0.1863094541	0.670708255
238	0.1877193656	0.6701269227
239	0.1883712544	0.6698579664
240	0.1890065362	0.669595758
241	0.1895713837	0.6693625345
242	0.1901543983	0.6691217247
243	0.1906139139	0.6689318641
244	0.1918759608	0.6684101398
245	0.1925365553	0.6681368908
246	0.1925365649	0.6681368868
247	0.1925365833	0.6681368792
248	0.1932794785	0.6678294535
249	0.1933087416	0.6678173409
250	0.1939897014	0.667535416
251	0.1947123589	0.6672360974
252	0.1957159527	0.6668201947
253	0.196876619	0.6663388752
254	0.1975293182	0.666068053
